sector,unitTypeStd,Count of Facilities,Count of Units,designCapacity,energyMJ,energyMJq0,Throughput in Metric Tons
ag,boiler,422,281,946.606987658664,5155976.508180628,18003284006.42666,257308.10600963936
ag,dryer,422,53,226.77839396599998,0.0,84579270.21292622,0.0
ag,engine,422,122,3.649340107,707555.3723181571,29044999.194991544,0.0
ag,flare,422,2,,0.0,0.0,0.0
ag,furnace,422,4,33.64463828163001,562355378.3883934,0.0,0.0
ag,heater,422,124,388.35472562487723,30725086.38812459,1469740257.1686373,124.90893539426524
ag,incinerator,422,17,0.37220025889999997,0.0,0.0,0.0
ag,kiln,422,3,,0.0,0.0,0.0
ag,other,422,180,1.4653553499999998,0.0,8492483.521428572,14254.856816233209
ag,other combustion,422,93,152.9405082492888,2098583234.977246,115940065.55313672,0.0
ag,turbine,422,3,,0.0,188248.6956521739,0.0036951180000000003
cons,boiler,4529,972,33606.428250741876,82180682654.81247,46348329098.13965,923.114930845225
cons,compressor,4529,2,16.71879307152,703102029.2610283,0.0,0.0
cons,distillation,4529,33,150.9491853142,0.0,0.0,0.0
cons,dryer,4529,377,1573.15273437796,11005216629.40678,32646744422.267826,13263375.31539787
cons,engine,4529,400,24.922646347307982,4255415412.195382,2496678709.1820216,34.495841262442966
cons,flare,4529,806,10977.530109619773,165451808.28935283,82655260000.1714,3.237218085106383
cons,furnace,4529,92,2016.4272477266,22282102819.196762,405948634.0010581,0.0
cons,generator,4529,63,3.1654800000000005,6058167367.10686,3477633157.922639,0.0
cons,heater,4529,1690,5712.190624879756,35275170034.42111,32684126722.206257,53596.723076923074
cons,incinerator,4529,69,52.50390889999999,879179219.7542878,197177897.1535714,391.792656587473
cons,kiln,4529,141,1768.6951764176,24725875173.094933,3377212701.822,5794236.353742929
cons,other,4529,8798,3503.7217999890922,99337694.69773374,451992214716.90546,98648223.46409327
cons,other combustion,4529,6746,14471.992276923023,285326350026.66547,170155385895.73572,245169.00899305378
cons,thermal oxidizer,4529,11,204.61311000000003,584743851.1954882,0.0,0.0
cons,turbine,4529,500,6597.518862970875,39606625985.57828,169114778112.36157,0.0
mfg,boiler,16164,16040,918495.5227642107,1602082053758.2893,1135628635042.0305,16228022.4901423
mfg,building heat,16164,7,40.99296600000001,61754855.46085906,0.0,0.0
mfg,compressor,16164,9,7.6620200127,129251486.60004598,0.0,0.0
mfg,distillation,16164,196,1.025748745,0.0,0.0,0.0
mfg,dryer,16164,3899,44037.07926268028,74718829239.45172,479061142705.90326,53105247.50682928
mfg,engine,16164,2464,6980.0741929726455,10695770232.097282,5527662075.60624,6.429801754019836
mfg,flare,16164,579,56900.63006231866,2813527020.18799,43042745318.6264,2373.9345453061496
mfg,furnace,16164,3858,47237.02094542715,1492752628919.0352,251270468432.50632,7994956.119641252
mfg,generator,16164,62,62.71636560000001,318056979335.7087,7427381.062114286,0.0
mfg,heater,16164,5882,224569.17036670318,750125727921.404,692147260306.3275,3407307.9579340583
mfg,incinerator,16164,1171,1961.4995396138481,15211933484.574682,132297216857.56044,11225.723031636868
mfg,kiln,16164,1466,14993.529680617845,128714569979.1389,119913383735.65929,12326075.484505668
mfg,other,16164,21897,597142.8973288009,17824782717.348484,196479743980.67047,18758680.20047577
mfg,other combustion,16164,9774,140941.82602322413,2650571282374.988,145710756325.64188,2108602.0486473963
mfg,oven,16164,177,1533.6219273585,14336720566.25298,9732648801.444105,334951.1353119093
mfg,pump,16164,12,56.29258727820001,148943134.8521436,0.0,0.0
mfg,stove,16164,8,790.1976000000001,18904236860.66947,0.0,0.0
mfg,thermal oxidizer,16164,132,1677.6179354999997,18022579305.311447,0.0,0.0
mfg,turbine,16164,420,34376.27974780092,404652781253.72076,172513651148.90253,0.000717586258699957
mining,boiler,421,95,939.4242927035508,6130562876.280913,3378699828.664395,406154.60000000003
mining,dryer,421,38,100.25961304699999,0.0,669488020.166875,1678271.5066665146
mining,engine,421,148,1.584,0.0,15707368.00612384,0.002991577270770555
mining,flare,421,14,,0.0,135033.1425,0.0
mining,furnace,421,10,93.60250369194999,9384448654.386675,0.0,0.0
mining,generator,421,7,0.0,85207016.54680054,0.0,0.0
mining,heater,421,50,4.539670874300006,0.0,721923891.9389954,28522.482352941173
mining,incinerator,421,8,,0.0,0.0,7532.635
mining,kiln,421,19,93.19660026,0.0,0.0,245288.81141591363
mining,other,421,348,,0.0,41389426.44220824,952.4204059862611
mining,other combustion,421,151,756.2549764726976,20546607521.590855,41479725299.46767,373013.52635764616
mining,turbine,421,5,9.996654197699998,0.0,52255203.52004633,0.0
